,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
0,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-04,3277.139,3289.75,3243.319,3295.279,3243.76,10944792700,1.33773495628e+11,-33.379,-0.01019
1,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-05,3243.76,3254.468,3221.462,3290.512,3282.179,12611506600,1.61858172981e+11,38.419,0.01184
2,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-06,3282.179,3277.517,3253.044,3295.868,3254.215,12365138400,1.58040114734e+11,-27.964,-0.00852
3,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-07,3254.215,3253.991,3176.707,3268.819,3192.776,12865282700,1.57229581955e+11,-61.439,-0.01888
4,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-08,3192.776,3177.259,3149.017,3198.92,3195.997,9837714700,1.21739882073e+11,3.221,0.00101
5,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-11,3195.997,3301.611,3197.328,3306.751,3212.75,13632721600,1.77557637092e+11,16.753,0.00524
6,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-12,3212.75,3205.705,3180.085,3275.202,3273.966,14065524100,1.73949587793e+11,61.216,0.01905
7,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-13,3273.966,3204.976,3165.485,3232.818,3172.658,15834427800,1.97329891936e+11,-101.308,-0.03094
8,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-14,3172.658,3183.381,3165.596,3219.016,3215.55,13595450400,1.68004201473e+11,42.892,0.01352
9,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-15,3215.55,3217.19,3197.221,3241.815,3224.152,12054113500,1.51441932665e+11,8.602,0.00268
10,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-18,3224.152,3213.637,3202.207,3238.242,3237.098,13506723800,1.69760710359e+11,12.946,0.00402
11,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-19,3237.098,3242.216,3236.839,3268.806,3246.874,12994353200,1.62672571503e+11,9.776,0.00302
12,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-20,3246.874,3252.037,3148.334,3255.128,3151.85,15824311200,1.9266166682e+11,-95.024,-0.02927
13,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-21,3151.85,3154.189,3126.902,3176.147,3158.863,11433707900,1.42103163041e+11,7.013,0.00223
14,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-22,3158.863,3118.724,3062.629,3147.829,3128.588,13775853800,1.6357068034e+11,-30.275,-0.00958
15,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-25,3128.588,3103.32,3092.926,3136.999,3094.411,7836186200,95145982251.0,-34.177,-0.01092
16,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-26,3094.411,3094.848,3001.956,3107.198,3019.394,9350709200,1.09256964463e+11,-75.017,-0.02424
17,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-27,3019.394,3020.54,2972.627,3028.647,2986.607,7655221400,90324580784.0,-32.787,-0.01086
18,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-28,2986.607,2985.214,2963.891,3006.039,2994.143,7336576700,85654271669.0,7.536,0.00252
19,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-01-29,2994.143,2979.743,2968.453,3024.848,2989.292,8047587500,95656890364.0,-4.851,-0.00162
20,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-01,2989.292,2981.374,2912.887,2981.374,2941.36,8814711400,1.03760395661e+11,-47.932,-0.01603
21,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-02,2941.36,2955.753,2930.559,2990.748,2934.713,8248578900,97685864724.0,-6.647,-0.00226
22,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-03,2934.713,2945.034,2890.021,3005.131,3003.835,10102253700,1.19046397344e+11,69.122,0.02355
23,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-04,3003.835,2983.05,2968.68,3015.126,2995.308,9991836400,1.14601290076e+11,-8.527,-0.00284
24,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-05,2995.308,2936.197,2918.909,2959.233,2939.402,9727498900,1.10882284806e+11,-55.906,-0.01866
25,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-08,2939.402,2936.452,2922.187,2954.266,2935.174,6329958200,73159983990.0,-4.228,-0.00144
26,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-09,2935.174,2932.09,2929.21,2957.474,2948.842,6228220700,68112416248.0,13.668,0.00466
27,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-10,2948.842,2967.138,2958.217,2983.179,2982.5,5558800500,67017903260.0,33.658,0.01141
28,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-11,2982.5,2985.082,2976.079,3001.636,2985.499,5664630500,64892509383.0,2.999,0.00101
29,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-12,2985.499,2996.088,2993.437,3018.858,3018.133,5609212400,66931569830.0,32.634,0.01093
30,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-22,3018.133,3016.703,3002.811,3026.659,3003.398,6850514300,78744835872.0,-14.735,-0.00488
31,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-23,3003.398,2998.907,2938.753,2998.907,2982.575,8039285800,98223524244.0,-20.823,-0.00693
32,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-24,2982.575,2964.984,2955.069,3023.739,3022.177,9291896200,1.05568658353e+11,39.602,0.01328
33,000001.ZICN,000001,上海证券交易所,上证综指,XSHG,2010-02-25,3022.177,3026.656,3022.373,3063.004,3060.618,11967078100,1.38961506698e+11,38.441,0.01272
